name,developer,price
Chaos Theory,blurredVision,299
Trials 2: Second Edition,Redlynx,999
Monster Trucks Nitro ,Redlynx Ltd,1999
Insecticide Part 1,Crackpot Entertainment,299
Velvet Assassin,Replay Studios,499
Legendary,Spark Unlimited,499
Sid Meier's Civilization IV: Colonization,Firaxis Games,1999
GROUND BRANCH,BlackFoot Studios,2999
Children of the Nile: Enhanced Edition,"Tilted Mill Entertainment, Inc.",799
Children of the Nile: Alexandria,"Tilted Mill Entertainment, Inc.",249
Hinterland,"Tilted Mill Entertainment, Inc.",999
Mosby's Confederacy,"Tilted Mill Entertainment, Inc.",999
Crysis Warhead,Crytek,499
SPORE,Maxisâ„¢,499
Mirror's Edge,DICE,499
SPORE Creepy & Cute Parts Pack,Maxisâ„¢,499
Dragon Age: Origins,BioWare,499
Mass Effect (2007),BioWare,1999
Dead Space,EA Redwood Shores,499
Command & Conquer: Red Alert 3,EA Los Angeles,499
Zombie Panic! Source,Zombie Panic! Team,0
"Pirates, Vikings, and Knights II",Octoshark Studios,0
Dystopia,Puny Human,0
Nuclear Dawn,"GameConnect, InterWave Studios",999
Empires Mod,Empires,0
"Precipice of Darkness, Episode One",Hothead Games,799
"Precipice of Darkness, Episode Two",Hothead Games,799
DeathSpank,Hothead Games,374
DeathSpank: Thongs of Virtue,Hothead Games,374
The Baconing,Hothead Games,1499
Unstoppable Gorg,Futuremark,999
Spectraball,Shorebound Studios,499
Crazy Machines 2,Fakt Software,999
Crazy Machines,Fakt Software,999
Crazy Machines 1.5,Fakt Software,999
Helldorado,Spellbound,999
Mata Hari,4Head Studios,999
Defense Grid: The Awakening,Hidden Path Entertainment,999
Mayhem Intergalactic,Inventive Dingo,999
And Yet It Moves,Broken Rules,999
Zero Gear,Brian Cronin,499
Silent Hill Homecoming,Double Helix Games,3999
Puzzle Chronicles,Infinite Interactive,999
Rocket Knight,Climax Studios,1499
Biozone,G5 Entertainment,999
Tank Universal,Dialogue Design,499
Space Ark,Strawdog Studios Ltd,499
Eternity's Child,"Luc Bernard, SilverSphereStudios",499
Brothers in Arms: Earned in Blood,Gearbox Software,999
The Sum of All Fears,Red Storm Entertainment,999
Tom Clancy's Rainbow Six 3 Gold,"Red Storm Entertainment, Ubisoft Montreal",999
Far Cry 2: Fortune's Edition,Ubisoft Montreal,999
Prince of Persia,Ubisoft Montreal,999
Galactic Bowling,Perpetual FX Creative,1999
Red Faction Guerrilla Steam Edition,"Volition, Reactor Zero, THQ Nordic",1999
S.T.A.L.K.E.R.: Clear Sky,GSC Game World,999
Red Faction,Volition,999
Company of Heroes: Tales of Valor,Relic Entertainment,1999
Red Faction II,Volition,999
"Warhammer 40,000: Dawn of War II Chaos Rising","Relic Entertainment, Feral Interactive (Mac/Linux)",1999
Starscape,Moonpod,799
Mr. Robot,Moonpod,799
Shatter,Sidhe,999
The Witcher: Enhanced Edition Director's Cut,CD PROJEKT RED,999
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,1999
LEGO Batman: The Videogame,Traveller's Tales,1999
Watchmen: The End is Nigh,Deadline Games,499
Watchmen: The End is Nigh Part 2,Deadline Games,499
F.E.A.R.,"Monolith Productions, Inc., Timegate",5499
F.E.A.R. 3,Day 1 Studios,1999
LEGO Harry Potter: Years 1-4,TT Games,1999
Gravitron 2,Dark Castle Software,499
Pyroblazer,Eipix,499
Age of Booty,Certain Affinityâ„¢,0
Flock!,Proper Games,499
Street Fighter IV,Capcom,0
Bionic Commando,Capcom,999
Bionic Commando: Rearmed,Capcom,999
Resident Evil 5,Capcom,1999
